Code,Country,death_penalty,imprisonment,anti_propaganda_law,age_of_consent,legal,anti_discrimination,marriage_substitute,marriage,population_thousands
AFG,Afghanistan,,1,,,,,,,  28 398
ALB,Albania,,,,,,1,,,  3 150
DZA,Algeria,,1,,,,,,,  37 063
AND,Andorra,,,,,,1,,,78
AGO,Angola,,1,,,,1,,,  19 549
ATG,Antigua and Barbuda,,1,,,,,,,87
ARG,Argentina,,,,,,,,1,  40 374
ARM,Armenia,,,,,1,,,,  2 963
AUS,Australia,,,,,,1,Mixed,,  22 404
AUT,Austria,,,,,,1,1,,  8 402
AZE,Azerbaijan,,,,,1,,,,  9 095
BHS,Bahamas,,,,1,1,,,,360
BHR,Bahrain,,,,,1,,,,  1 252
BGD,Bangladesh,,1,,,,,,,  151 125
BRB,Barbados,,1,,,,,,,280
BLR,Belarus,,,,,1,,,,  9 491
BEL,Belgium,,,,,,1,,1,  10 941
BLZ,Belize,,1,,,,,,,309
BEN,Benin,,,,1,1,,,,  9 510
BTN,Bhutan,,1,,,,,,,717
BOL,Bolivia,,,,,,1,,,  10 157
BIH,Bosnia and Herzegovina,,,,,,1,,,  3 846
BWA,Botswana,,1,,,,1,,,  1 969
BRA,Brazil,,,,,,,,1,  195 210
BRN,Brunei (Darussalam),,1,,,,,,,401
BGR,Bulgaria,,,,,,1,,,  7 389
BFA,Burkina Faso,,,,,1,,,,  15 540
BDI,Burundi,,1,,,,,,,  9 233
KHM,Cambodia,,,,,1,,,,  14 365
CMR,Cameroon,,1,,,,,,,  20 624
CAN,Canada,,,,,,1,,1,  34 126
CPV,Cape Verde,,,,,,1,,,488
CAF,Central African Republic,,,,,1,,,,  4 350
TCD,Chad,,,,1,1,,,,  11 721
CHL,Chile,,,,,,1,,,  17 151
CHN,China,,,,,1,,,, 1 359 821
COL,Colombia,,,,,,1,,,  46 445
COM,Comoros,,1,,,,,,,683
CRI,Costa Rica,,,,,,1,,,  4 670
HRV,Croatia,,,,,,1,,,  4 338
CUB,Cuba,,,,,1,,,,  11 282
CYP,Cyprus,,,,,,1,,,  1 104
CZE,Czech Republic,,,,,,1,,,  10 554
COD,Democratic Republic of Congo,,,,1,1,,,,  62 191
DNK,Denmark,,,,,,1,,1,  5 551
DJI,Djibouti,,,,,1,,,,834
DMA,Dominica,,1,,,,,,,71
DOM,Dominican Republic,,,,,1,,,,  10 017
ECU,Ecuador,,,,,,1,,,  15 001
EGY,Egypt,,1,,,,,,,  78 076
SLV,El Salvador,,,,,,1,,,  6 218
GNQ,Equatorial Guinea,,,,,1,,,,696
ERI,Eritrea,,1,,,,,,,  5 741
EST,Estonia,,,,,,1,,,  1 299
ETH,Ethiopia,,1,,,,,,,  87 095
FJI,Fiji,,,,,,1,,,861
FIN,Finland,,,,,,1,1,,  5 368
FRA,France,,,,,,1,,1,  63 231
MKD,FYR Macedonia,,,,,,1,,,  2 102
GAB,Gabon,,,,1,1,,,,  1 556
GMB,Gambia,,1,,,,,,,  1 681
GEO,Georgia,,,,,,1,,,  4 389
DEU,Germany,,,,,,1,,,  83 017
GHA,Ghana,,1,,,,,,,  24 263
GRC,Greece,,,,,,1,,,  11 110
GRD,Grenada,,1,,,,,,,105
GTM,Guatemala,,,,,1,,,,  14 342
GIN,Guinea,,1,,,,,,,  10 876
GNB,Guinea-Bissau,,,,,1,,,,  1 587
GUY,Guyana,,1,,,,,,,786
HTI,Haiti,,,,,1,,,,  9 896
HND,Honduras,,,,,1,,,,  7 621
HUN,Hungary,,,,,,1,,,  10 015
ISL,Iceland,,,,,,1,,1,318
IND,India,,1,,,,,,, 1 205 625
IDN,Indonesia,,,,1,1,,,,  240 676
IRN,Iran,1,,,,,,,,  74 462
IRQ,Iraq,,,,,1,,,,  30 962
IRL,Ireland,,,,,,1,,,  4 468
ISR,Israel,,,,,,1,,,  7 420
ITA,Italy,,,,,,1,,,  60 509
CIV,Ivory Coast,,,,1,1,,,,  18 977
JAM,Jamaica,,1,,,,,,,  2 741
JPN,Japan,,,,,1,,,,  127 353
JOR,Jordan,,,,,1,,,,  6 455
KAZ,Kazakhstan,,,,,1,,,,  15 921
KEN,Kenya,,1,,,,,,,  40 909
KIR,Kiribati,,1,,,,,,,98
KWT,Kuwait,,1,,,,,,,  2 992
KGZ,Kyrgyzstan,,,,,1,,,,  5 334
LAO,Lao People's Dem Republic,,,,,1,,,,  6 396
LVA,Latvia,,,,,,1,,,  2 091
LBN,Lebanon,,1,,,,,,,  4 341
LSO,Lesotho,,,,,1,,,,  2 009
LBR,Liberia,,1,,,,,,,  3 958
LBY,Libya,,1,,,,,,,  6 041
LIE,Liechtenstein,,,,,,,1,,36
LTU,Lithuania,,,,,,1,,,  3 068
LUX,Luxembourg,,,,,,1,,,508
MDG,Madagascar,,,,1,1,,,,  21 080
MWI,Malawi,,1,,,,,,,  15 014
MYS,Malaysia,,1,,,,,,,  28 276
MDV,Maldives,,,,,,,,,326
MLI,Mali,,,,,1,,,,  13 986
MLT,Malta,,,,,,1,,,425
MHL,Marshall Islands,,,,,1,,,,52
MRT,Mauritania,1,,,,,,,,  3 609
MUS,Mauritius,,1,,,,1,,,  1 231
MEX,Mexico,,,,,,,,Mixed,  117 886
FSM,Micronesia,,,,,1,,,,104
MDA,Moldova,,,,,,1,,,  3 573
MCO,Monaco,,,,,,1,,,37
MNG,Mongolia,,,,,1,,,,  2 713
MNE,Montenegro,,,,,,1,,,620
MAR,Morocco,,1,,,,,,,  31 642
MOZ,Mozambique,,1,,,,1,,,  23 967
MMR,Myanmar,,1,,,,,,,  51 931
NAM,Namibia,,1,,,,,,,  2 179
NRU,Nauru,,1,,,,,,,10
NPL,Nepal,,,,,1,,,,  26 846
NLD,Netherlands,,,,,,1,,1,  16 615
NZL,New Zealand,,,,,,1,,1,  4 368
NIC,Nicaragua,,,,,,1,,,  5 822
NER,Niger,,,,1,1,,,,  15 894
NGA,Nigeria,Parts,1,,,,,,,  159 708
PRK,North Korea,,,,,1,,,,  24 501
NOR,Norway,,,,,,1,,1,  4 891
OMN,Oman,,1,,,,,,,  2 803
PAK,Pakistan,,1,,,,,,,  173 149
PLW,Palau,,1,,,,,,,20
PAN,Panama,,,,,1,,,,  3 678
PNG,Papua New Guinea,,1,,,,,,,  6 859
PRY,Paraguay,,,,1,1,,,,  6 460
PER,Peru,,,,,1,,,,  29 263
PHL,Philippines,,,,,1,,,,  93 444
POL,Poland,,,,,,1,,,  38 199
PRT,Portugal,,,,,,1,,1,  10 590
QAT,Qatar,,1,,,,,,,  1 750
COG,Republic of Congo,,,,1,1,,,,  4 112
ROU,Romania,,,,,,1,,,  21 861
RUS,Russia,,,1,,,,,,  143 618
RWA,Rwanda,,,,1,1,,,,  10 837
KNA,Saint Kitts and Nevis,,1,,,,,,,52
LCA,Saint Lucia,,1,,,,,,,177
WSM,Samoa,,1,,,,,,,186
SMR,San Marino,,,,,,1,,,31
STP,São Tomé and Príncipe,,1,,,,,,,178
SAU,Saudi Arabia,1,,,,,,,,  27 258
SEN,Senegal,,1,,,,,,,  12 951
SRB,Serbia,,,,,,1,,,  9 647
SYC,Seychelles,,1,,,,1,,,91
SLE,Sierra Leone,,1,,,,,,,  5 752
SGP,Singapore,,1,,,,,,,  5 079
SVK,Slovakia,,,,,,1,,,  5 433
SVN,Slovenia,,,,,,1,,,  2 054
SLB,Solomon Islands,,1,,,,,,,526
SOM,Somalia,Parts,1,,,,,,,  9 636
ZAF,South Africa,,,,,,1,,1,  51 452
KOR,South Korea,,,,,1,,,,  48 454
SSD,South Sudan,,1,,,,,,,  9 941
ESP,Spain,,,,,,1,,1,  46 182
LKA,Sri Lanka,,1,,,,,,,  20 759
VCT,St Vincent and the Grenadines,,1,,,,,,,109
SDN,Sudan,1,,,,,,,,  35 652
SUR,Suriname,,,,1,1,,,,525
SWZ,Swaziland,1,,,,,,,,  1 193
SWE,Sweden,,,,,,1,,1,  9 382
CHE,Switzerland,,,,,,1,,,  7 831
SYR,Syria,,1,,,,,,,  21 533
TJK,Tajikistan,,,,,1,,,,  7 627
TZA,Tanzania,,1,,,,,,,  44 973
THA,Thailand,,,,,1,,,,  66 402
TLS,Timor-Leste,,,,,1,,,,  1 079
TGO,Togo,,1,,,,,,,  6 306
TON,Tonga,,1,,,,,,,104
TTO,Trinidad and Tobago,,1,,,,,,,  1 328
TUN,Tunisia,,1,,,,,,,  10 632
TUR,Turkey,,,,,1,,,,  72 138
TKM,Turkmenistan,,1,,,,,,,  5 042
TUV,Tuvalu,,1,,,,,,,10
UGA,Uganda,,1,,,,,,,  33 987
UKR,Ukraine,,,,,1,,,,  46 050
ARE,United Arab Emirates,,1,,,,,,,  8 442
GBR,UK,,,,,,,,Mixed (England and Wales),  62 066
URY,Uruguay,,,,,,1,,1,  3 372
USA,US,,,,,,1,,Mixed,  312 247
UZB,Uzbekistan,,1,,,,,,,  27 769
VUT,Vanuatu,,,,,1,,,,236
VEN,Venezuela,,,,,,1,,,  29 043
VNM,Vietnam,,,,,1,,,,  89 047
YEM,Yemen,1,,,,,,,,  22 763
ZMB,Zambia,,1,,,,,,,  13 217
ZWE,Zimbabwe,,1,,,,,,,  13 077